"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Aberdeen, SD","10100",2011,122,104,18,0,0,0,0,70,54,25,0,0,0,117,5
"Aberdeen, WA","10140",2011,363,352,11,0,0,0,0,59,35,16,0,0,0,363,0
"Adjuntas, PR","10260",2011,14,13,1,0,0,0,0,53,15,10,0,0,0,14,0
"Adrian, MI","10300",2011,241,160,70,10,1,0,0,154,76,44,0,0,166,75,0
"Akron, OH","10420",2011,365,225,133,7,0,0,0,150,72,44,43,0,168,154,0
"Albany, GA","10500",2011,361,152,203,6,0,0,0,115,74,54,0,0,0,361,0
"Albany, OR","10540",2011,363,270,87,3,3,0,0,193,63,25,0,0,0,363,0
"Albany-Schenectady-Troy, NY","10580",2011,365,257,105,3,0,0,0,140,65,42,0,0,205,160,0
"Albuquerque, NM","10740",2011,365,73,264,25,2,1,0,293,100,63,0,3,182,137,43
"Alexandria, LA","10780",2011,283,95,187,1,0,0,0,102,70,55,0,0,0,283,0
"Allentown-Bethlehem-Easton, PA-NJ","10900",2011,365,161,190,11,3,0,0,154,85,54,0,13,101,249,2
"Altoona, PA","11020",2011,365,208,148,8,1,0,0,159,74,46,0,0,146,219,0
"Amarillo, TX","11100",2011,361,240,113,8,0,0,0,140,80,44,0,0,299,62,0
"Americus, GA","11140",2011,232,171,61,0,0,0,0,100,71,44,0,0,232,0,0
"Ames, IA","11180",2011,214,198,16,0,0,0,0,87,49,36,0,0,214,0,0
"Anchorage, AK","11260",2011,365,280,82,2,0,1,0,241,59,36,12,0,87,202,64
"Ann Arbor, MI","11460",2011,357,279,71,6,1,0,0,154,71,38,0,0,311,46,0
"Appleton, WI","11540",2011,303,235,64,4,0,0,0,119,63,39,0,0,170,133,0
"Ardmore, OK","11620",2011,333,153,143,34,3,0,0,177,105,52,0,0,210,123,0
"Arkadelphia, AR","11660",2011,270,249,21,0,0,0,0,100,49,35,0,0,270,0,0
"Asheville, NC","11700",2011,364,228,132,4,0,0,0,122,71,47,0,0,179,185,0
"Ashtabula, OH","11780",2011,211,153,50,7,1,0,0,154,84,42,0,0,211,0,0
"Athens, OH","11900",2011,347,285,58,4,0,0,0,115,61,31,0,119,191,37,0
"Athens, TN","11940",2011,358,357,1,0,0,0,0,51,32,17,0,309,0,0,49
"Athens-Clarke County, GA","12020",2011,365,212,139,14,0,0,0,126,81,48,0,0,160,205,0
"Atlanta-Sandy Springs-Roswell, GA","12060",2011,365,114,184,62,5,0,0,172,119,58,0,4,168,193,0
"Atlantic City-Hammonton, NJ","12100",2011,359,280,74,5,0,0,0,136,63,39,0,0,230,129,0
"Augusta-Richmond County, GA-SC","12260",2011,363,182,166,15,0,0,0,126,87,50,0,0,172,191,0
"Augusta-Waterville, ME","12300",2011,211,195,16,0,0,0,0,97,49,31,0,0,182,0,29
"Austin-Round Rock, TX","12420",2011,365,218,133,13,1,0,0,151,84,45,0,2,234,129,0
"Bakersfield, CA","12540",2011,365,65,160,100,40,0,0,200,151,84,0,1,216,141,7
"Baltimore-Columbia-Towson, MD","12580",2011,365,150,178,24,10,3,0,209,101,55,0,17,156,192,0
"Bangor, ME","12620",2011,365,321,44,0,0,0,0,80,54,35,0,0,244,121,0
"Baraboo, WI","12660",2011,284,240,44,0,0,0,0,91,54,38,0,0,209,74,1
"Barnstable Town, MA","12700",2011,275,253,19,3,0,0,0,112,46,35,0,0,227,48,0
"Baton Rouge, LA","12940",2011,365,119,206,34,6,0,0,192,101,57,0,4,142,219,0
"Bay City, MI","13020",2011,118,98,20,0,0,0,0,76,60,24,0,0,0,118,0
"Beaumont-Port Arthur, TX","13140",2011,365,217,117,27,4,0,0,185,90,45,0,0,219,146,0
"Beaver Dam, WI","13180",2011,365,258,101,6,0,0,0,115,67,42,0,0,206,159,0
"Beckley, WV","13220",2011,116,91,25,0,0,0,0,83,61,34,0,0,0,116,0
"Bellingham, WA","13380",2011,354,344,10,0,0,0,0,62,38,25,0,0,120,234,0
"Bend-Redmond, OR","13460",2011,365,323,38,3,1,0,0,170,51,32,0,0,126,239,0
"Bennington, VT","13540",2011,361,292,68,1,0,0,0,140,57,38,0,0,198,163,0
"Berlin, NH-VT","13620",2011,356,267,87,2,0,0,0,101,67,44,0,0,351,5,0
"Billings, MT","13740",2011,362,351,11,0,0,0,0,77,39,20,12,0,0,350,0
"Birmingham-Hoover, AL","13820",2011,365,118,209,32,6,0,0,182,101,58,2,0,120,227,16
"Bishop, CA","13860",2011,365,173,146,33,5,2,6,13276,105,51,0,0,280,33,52
"Bismarck, ND","13900",2011,365,334,31,0,0,0,0,74,49,37,0,5,293,65,2
"Blacksburg-Christiansburg-Radford, VA","13980",2011,325,264,60,1,0,0,0,101,64,42,0,0,325,0,0
"Bloomington, IL","14010",2011,359,311,46,2,0,0,0,147,58,34,0,0,359,0,0
"Bloomington, IN","14020",2011,334,190,135,8,1,0,0,159,74,46,0,0,112,222,0
"Boise City, ID","14260",2011,365,277,83,5,0,0,0,115,64,43,7,9,229,44,76
"Boone, NC","14380",2011,117,94,23,0,0,0,0,71,56,31,0,0,0,117,0
"Boston-Cambridge-Newton, MA-NH","14460",2011,365,183,175,6,1,0,0,151,74,50,0,17,113,235,0
"Boulder, CO","14500",2011,365,221,128,16,0,0,0,140,84,48,2,0,335,26,2
"Bowling Green, KY","14540",2011,365,220,141,4,0,0,0,108,74,46,0,0,242,123,0
"Bozeman, MT","14580",2011,365,280,84,1,0,0,0,103,57,35,0,6,0,359,0
"Brainerd, MN","14660",2011,350,300,48,2,0,0,0,112,55,36,0,0,175,175,0
"Branson, MO","14700",2011,283,213,65,5,0,0,0,126,61,44,0,0,222,61,0
"Breckenridge, CO","14720",2011,318,314,4,0,0,0,0,66,27,12,0,0,0,0,318
"Bremerton-Silverdale, WA","14740",2011,361,321,39,1,0,0,0,110,52,20,0,0,0,361,0
"Bridgeport-Stamford-Norwalk, CT","14860",2011,365,273,72,12,8,0,0,190,80,39,45,88,165,67,0
"Brookings, SD","15100",2011,365,338,26,1,0,0,0,104,49,37,0,0,312,41,12
"Brownsville-Harlingen, TX","15180",2011,365,249,115,1,0,0,0,104,68,43,1,0,116,248,0
"Brunswick, GA","15260",2011,266,219,46,1,0,0,0,108,58,40,0,0,209,46,11
"Buffalo-Cheektowaga-Niagara Falls, NY","15380",2011,365,213,145,7,0,0,0,150,74,48,0,10,157,198,0
"Burley, ID","15420",2011,193,165,28,0,0,0,0,74,51,45,0,0,193,0,0
"Burlington, NC","15500",2011,365,242,121,2,0,0,0,108,62,43,0,0,0,365,0
